Nom,Longitude,Latitude
Clinique Saint-Antoine,1.107159,49.457653
Hôpital de Nyons,5.137053,44.359562
Centre médical Le Schimmel,6.984462,47.765667
Clinique du Souffle la Vallonie,3.304980,43.732311
Nouvel Hôpital d'Épinal,6.453142,48.179718
Centre hospitalier intercommunal de Saint-Germain-en-Laye,2.084207,48.897907
Centre hospitalier Barthélemy Durand,2.156147,48.444275
Centre hospitalier d'Altkirch,7.252074,47.624073
Centre Hospitalier Mémorial,-1.107240,49.104839
IRM,3.122083,46.981308
Centre hospitalier de Bigorre - Site de Vic,0.053172,43.388046
Clinique Les Vallées,2.519106,48.702789
